,price,longitude,latitude,neighborhood
1155,1350,-73.9498,40.7272,Greenpoint
1156,1200,-73.945932,40.693497,Bedford
1157,750,-73.9274,40.6907,Stuyvesant_Heights
1158,740,-73.941351,40.834212,Washington_Heights_South
1159,1900,-73.960685,40.681279,Clinton_Hill
1160,1900,-73.960685,40.681279,Clinton_Hill
1161,850,-73.916117,40.682684,Ocean_Hill
1162,1110,-73.947818,40.781905,Yorkville
1163,925,-73.938668,40.68534,Bedford
1164,750,-74.1171,40.6324,West_New_Brighton_New_Brighton_St__George
1165,750,-74.1171,40.6324,West_New_Brighton_New_Brighton_St__George
1166,875,-73.920827,40.702686,Bushwick_North
1167,1350,-73.948009,40.71568,East_Williamsburg
1168,1800,-74.0083,40.7056,Battery_Park_City_Lower_Manhattan
1169,750,-73.9274,40.6907,Stuyvesant_Heights
1170,790,-73.9216,40.7436,Hunters_Point_Sunnyside_West_Maspeth
1171,1900,-73.9892,40.7313,East_Village
1172,1355,-73.8895,40.8633,Bedford_Park_Fordham_North
1173,700,-73.888464,40.63146500000001,Canarsie
1174,1025,-73.91741,40.701346,Bushwick_North
1175,1000,-73.93361800000002,40.851681,Washington_Heights_North
1176,755,-73.9764,40.7864,Upper_West_Side
1177,800,-73.940235,40.851326,Washington_Heights_North
1178,1050,-73.9436,40.7012,Bedford
1179,1155,-73.9683,40.7975,Upper_West_Side
1180,1200,-73.991439,40.71394,Lower_East_Side
1181,1200,-73.9447,40.7918,East_Harlem_South
1182,1120,-73.944855,40.717209,East_Williamsburg
1183,1200,-73.9496,40.6794,Crown_Heights_North
1184,1250,-73.989723,40.66914600000001,Park_Slope_Gowanus
1185,1250,-73.9813,40.7375,Gramercy
1186,2400,-73.9796,40.7262,Lower_East_Side
1187,1400,-73.904831,40.706774,Ridgewood
1188,700,-73.8712,40.8737,None
1189,850,-73.942,40.8382,Washington_Heights_South
1190,1225,-73.9221,40.8662,Marble_Hill_Inwood
1191,750,-74.003443,40.640953,Sunset_Park_East
1192,1925,-73.964135,40.71807,North_Side_South_Side
1193,600,-73.2086,41.2091,None
1194,600,-73.2086,41.2091,None
1195,1100,-73.914992,40.763892,Astoria
1196,1225,-73.952809,40.655229,Prospect_Lefferts_Gardens_Wingate
1197,875,-73.940135,40.808028,Central_Harlem_North_Polo_Grounds
